Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIM,HR,CPM,TIME,HR,CPM,
2019-06-12 10-58-45,98,0,2019-06-12 10-58-44,99,0,2019-06-12 10-58-45,108,0,2019-06-12 10-58-45,99,0,
2019-06-12 10-58-46,99,0,2019-06-12 10-58-45,100,0,2019-06-12 10-58-46,109,0,2019-06-12 10-58-46,100,0,
2019-06-12 10-58-47,100,0,2019-06-12 10-58-46,101,0,2019-06-12 10-58-47,108,0,2019-06-12 10-58-47,101,0,
2019-06-12 10-58-48,101,0,2019-06-12 10-58-47,100,0,2019-06-12 10-58-48,108,0,2019-06-12 10-58-48,101,0,
2019-06-12 10-58-49,101,0,2019-06-12 10-58-48,101,0,2019-06-12 10-58-49,108,0,2019-06-12 10-58-49,102,0,
2019-06-12 10-58-50,101,0,2019-06-12 10-58-49,100,0,2019-06-12 10-58-50,109,0,2019-06-12 10-58-50,101,0,
2019-06-12 10-58-51,100,0,2019-06-12 10-58-50,100,0,2019-06-12 10-58-51,108,0,2019-06-12 10-58-51,101,0,
2019-06-12 10-58-52,101,0,2019-06-12 10-58-51,99,0,2019-06-12 10-58-52,108,0,2019-06-12 10-58-52,101,0,
2019-06-12 10-58-53,101,0,2019-06-12 10-58-52,98,0,2019-06-12 10-58-53,110,0,2019-06-12 10-58-53,101,0,
2019-06-12 10-58-54,100,0,2019-06-12 10-58-53,98,0,2019-06-12 10-58-54,111,0,2019-06-12 10-58-54,100,0,
2019-06-12 10-58-55,100,0,2019-06-12 10-58-54,99,0,2019-06-12 10-58-55,113,0,2019-06-12 10-58-55,101,0,
2019-06-12 10-58-56,99,0,2019-06-12 10-58-55,100,0,2019-06-12 10-58-56,112,0,2019-06-12 10-58-56,101,0,
2019-06-12 10-58-57,98,0,2019-06-12 10-58-56,102,0,2019-06-12 10-58-57,113,0,2019-06-12 10-58-57,102,0,
2019-06-12 10-58-58,99,0,2019-06-12 10-58-57,104,0,2019-06-12 10-58-58,114,0,2019-06-12 10-58-58,103,0,
2019-06-12 10-58-59,100,0,2019-06-12 10-58-58,106,0,2019-06-12 10-58-59,115,0,2019-06-12 10-58-59,104,0,
2019-06-12 10-59-00,103,0,2019-06-12 10-58-59,109,0,2019-06-12 10-59-00,117,0,2019-06-12 10-59-00,106,0,
2019-06-12 10-59-01,102,0,2019-06-12 10-59-00,110,0,2019-06-12 10-59-01,118,0,2019-06-12 10-59-01,105,0,
2019-06-12 10-59-02,102,0,2019-06-12 10-59-01,112,0,2019-06-12 10-59-02,118,0,2019-06-12 10-59-02,106,0,
2019-06-12 10-59-03,102,0,2019-06-12 10-59-02,114,0,2019-06-12 10-59-03,118,0,2019-06-12 10-59-03,105,0,
2019-06-12 10-59-04,102,0,2019-06-12 10-59-03,114,0,2019-06-12 10-59-04,118,0,2019-06-12 10-59-04,106,0,
2019-06-12 10-59-05,102,0,2019-06-12 10-59-04,115,0,2019-06-12 10-59-05,120,0,2019-06-12 10-59-05,106,0,
2019-06-12 10-59-06,103,0,2019-06-12 10-59-05,116,0,2019-06-12 10-59-06,121,0,2019-06-12 10-59-06,105,0,
2019-06-12 10-59-07,102,0,2019-06-12 10-59-06,116,0,2019-06-12 10-59-07,120,0,2019-06-12 10-59-07,105,0,
2019-06-12 10-59-08,102,0,2019-06-12 10-59-07,117,0,2019-06-12 10-59-08,121,0,2019-06-12 10-59-08,107,0,
2019-06-12 10-59-09,102,0,2019-06-12 10-59-08,118,0,2019-06-12 10-59-09,120,0,2019-06-12 10-59-09,107,0,
2019-06-12 10-59-10,102,0,2019-06-12 10-59-09,119,0,2019-06-12 10-59-10,120,0,2019-06-12 10-59-10,107,0,
2019-06-12 10-59-11,101,0,2019-06-12 10-59-10,119,0,2019-06-12 10-59-11,121,0,2019-06-12 10-59-11,106,0,
2019-06-12 10-59-12,101,0,2019-06-12 10-59-11,118,0,2019-06-12 10-59-12,120,0,2019-06-12 10-59-12,106,0,
2019-06-12 10-59-13,101,0,2019-06-12 10-59-12,117,0,2019-06-12 10-59-12,119,0,2019-06-12 10-59-13,105,0,
2019-06-12 10-59-14,100,0,2019-06-12 10-59-13,117,0,2019-06-12 10-59-14,119,0,2019-06-12 10-59-14,107,0,
2019-06-12 10-59-15,99,0,2019-06-12 10-59-14,117,0,2019-06-12 10-59-15,119,0,2019-06-12 10-59-15,109,0,
2019-06-12 10-59-16,99,0,2019-06-12 10-59-15,116,0,2019-06-12 10-59-15,118,0,2019-06-12 10-59-16,108,0,
2019-06-12 10-59-17,98,0,2019-06-12 10-59-16,116,0,2019-06-12 10-59-16,118,0,2019-06-12 10-59-17,109,0,
2019-06-12 10-59-18,99,0,2019-06-12 10-59-17,115,0,2019-06-12 10-59-18,120,0,2019-06-12 10-59-18,109,0,
