Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,
2019-06-12 11-19-19,98,0,2019-06-12 11-19-19,99,0,2019-06-12 11-19-19,88,0,2019-06-12 11-19-18,75,0,
2019-06-12 11-19-20,98,0,2019-06-12 11-19-20,98,0,2019-06-12 11-19-20,89,0,2019-06-12 11-19-19,77,0,
2019-06-12 11-19-21,97,0,2019-06-12 11-19-21,97,0,2019-06-12 11-19-21,89,0,2019-06-12 11-19-20,79,0,
2019-06-12 11-19-22,96,0,2019-06-12 11-19-22,94,0,2019-06-12 11-19-22,89,0,2019-06-12 11-19-21,81,0,
2019-06-12 11-19-23,94,0,2019-06-12 11-19-23,93,0,2019-06-12 11-19-23,88,0,2019-06-12 11-19-22,82,0,
2019-06-12 11-19-24,94,0,2019-06-12 11-19-24,93,0,2019-06-12 11-19-24,87,0,2019-06-12 11-19-23,81,0,
2019-06-12 11-19-25,94,0,2019-06-12 11-19-25,93,0,2019-06-12 11-19-25,86,0,2019-06-12 11-19-24,82,0,
2019-06-12 11-19-26,94,0,2019-06-12 11-19-26,93,0,2019-06-12 11-19-26,86,0,2019-06-12 11-19-25,82,0,
2019-06-12 11-19-27,94,0,2019-06-12 11-19-27,93,0,2019-06-12 11-19-27,88,0,2019-06-12 11-19-26,83,0,
2019-06-12 11-19-28,94,0,2019-06-12 11-19-28,93,0,2019-06-12 11-19-28,88,0,2019-06-12 11-19-27,83,0,
2019-06-12 11-19-29,93,0,2019-06-12 11-19-29,92,0,2019-06-12 11-19-29,89,0,2019-06-12 11-19-28,83,0,
2019-06-12 11-19-30,93,0,2019-06-12 11-19-30,91,0,2019-06-12 11-19-30,88,0,2019-06-12 11-19-29,82,0,
2019-06-12 11-19-31,93,0,2019-06-12 11-19-31,88,0,2019-06-12 11-19-31,88,0,2019-06-12 11-19-30,82,0,
2019-06-12 11-19-32,92,0,2019-06-12 11-19-32,87,0,2019-06-12 11-19-32,88,0,2019-06-12 11-19-31,83,0,
2019-06-12 11-19-33,92,0,2019-06-12 11-19-33,86,0,2019-06-12 11-19-33,88,0,2019-06-12 11-19-32,83,0,
2019-06-12 11-19-34,91,0,2019-06-12 11-19-34,85,0,2019-06-12 11-19-34,88,0,2019-06-12 11-19-33,84,0,
2019-06-12 11-19-35,90,0,2019-06-12 11-19-35,85,0,2019-06-12 11-19-35,88,0,2019-06-12 11-19-34,84,0,
2019-06-12 11-19-36,88,0,2019-06-12 11-19-36,84,0,2019-06-12 11-19-36,88,0,2019-06-12 11-19-35,83,0,
2019-06-12 11-19-37,88,0,2019-06-12 11-19-37,84,0,2019-06-12 11-19-37,87,0,2019-06-12 11-19-36,83,0,
2019-06-12 11-19-37,87,0,2019-06-12 11-19-38,83,0,2019-06-12 11-19-38,87,0,2019-06-12 11-19-37,80,0,
2019-06-12 11-19-39,86,0,2019-06-12 11-19-39,83,0,2019-06-12 11-19-39,86,0,2019-06-12 11-19-38,80,0,
