Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,
2019-06-15 20-28-58,102,0,2019-06-15 20-28-58,144,0,2019-06-15 20-28-58,107,0,
2019-06-15 20-28-59,103,0,2019-06-15 20-28-59,143,0,2019-06-15 20-28-59,108,0,
2019-06-15 20-29-00,103,0,2019-06-15 20-29-00,143,0,2019-06-15 20-29-00,110,0,
2019-06-15 20-29-01,102,0,2019-06-15 20-29-01,142,0,2019-06-15 20-29-01,111,0,
2019-06-15 20-29-02,102,0,2019-06-15 20-29-02,141,0,2019-06-15 20-29-02,114,0,
2019-06-15 20-29-03,102,0,2019-06-15 20-29-03,140,0,2019-06-15 20-29-03,116,0,
2019-06-15 20-29-04,102,0,2019-06-15 20-29-04,140,0,2019-06-15 20-29-04,117,0,
2019-06-15 20-29-05,104,0,2019-06-15 20-29-05,139,0,2019-06-15 20-29-05,117,0,
2019-06-15 20-29-06,105,0,2019-06-15 20-29-06,139,0,2019-06-15 20-29-06,119,0,
2019-06-15 20-29-07,107,0,2019-06-15 20-29-07,138,0,2019-06-15 20-29-07,120,0,
2019-06-15 20-29-08,108,0,2019-06-15 20-29-08,138,0,2019-06-15 20-29-08,120,0,
2019-06-15 20-29-09,110,0,2019-06-15 20-29-09,138,0,2019-06-15 20-29-09,120,0,
2019-06-15 20-29-10,113,0,2019-06-15 20-29-10,137,0,2019-06-15 20-29-10,120,0,
2019-06-15 20-29-11,114,0,2019-06-15 20-29-11,137,0,2019-06-15 20-29-11,119,0,
2019-06-15 20-29-12,115,0,2019-06-15 20-29-12,136,0,2019-06-15 20-29-12,121,0,
2019-06-15 20-29-13,114,0,2019-06-15 20-29-13,138,0,2019-06-15 20-29-13,122,0,
2019-06-15 20-29-14,117,0,2019-06-15 20-29-14,139,0,2019-06-15 20-29-14,122,0,
2019-06-15 20-29-15,119,0,2019-06-15 20-29-15,141,0,2019-06-15 20-29-15,122,0,
2019-06-15 20-29-16,119,0,2019-06-15 20-29-16,140,0,2019-06-15 20-29-16,124,0,
2019-06-15 20-29-17,120,0,2019-06-15 20-29-17,140,0,2019-06-15 20-29-17,124,0,
2019-06-15 20-29-18,123,0,2019-06-15 20-29-18,141,0,2019-06-15 20-29-18,126,0,
2019-06-15 20-29-19,123,0,2019-06-15 20-29-19,141,0,2019-06-15 20-29-19,126,0,
2019-06-15 20-29-20,123,0,2019-06-15 20-29-20,142,0,2019-06-15 20-29-20,125,0,
2019-06-15 20-29-21,123,0,2019-06-15 20-29-21,142,0,2019-06-15 20-29-21,125,0,
2019-06-15 20-29-22,122,0,2019-06-15 20-29-22,141,0,2019-06-15 20-29-22,125,0,
2019-06-15 20-29-23,122,0,2019-06-15 20-29-23,141,0,2019-06-15 20-29-23,125,0,
2019-06-15 20-29-24,121,0,2019-06-15 20-29-24,140,0,2019-06-15 20-29-24,125,0,
2019-06-15 20-29-25,121,0,2019-06-15 20-29-25,140,0,2019-06-15 20-29-25,125,0,
2019-06-15 20-29-26,120,0,2019-06-15 20-29-26,140,0,2019-06-15 20-29-26,125,0,
2019-06-15 20-29-27,119,0,2019-06-15 20-29-27,140,0,2019-06-15 20-29-27,128,0,
2019-06-15 20-29-28,119,0,2019-06-15 20-29-28,141,0,2019-06-15 20-29-28,128,0,
2019-06-15 20-29-29,119,0,2019-06-15 20-29-29,141,0,2019-06-15 20-29-29,131,0,
2019-06-15 20-29-30,119,0,2019-06-15 20-29-30,141,0,2019-06-15 20-29-30,130,0,
2019-06-15 20-29-31,120,0,2019-06-15 20-29-31,143,0,2019-06-15 20-29-31,132,0,
2019-06-15 20-29-32,120,0,2019-06-15 20-29-32,146,0,2019-06-15 20-29-32,133,0,
2019-06-15 20-29-33,121,0,2019-06-15 20-29-33,148,0,2019-06-15 20-29-33,133,0,
2019-06-15 20-29-34,122,0,2019-06-15 20-29-34,148,0,2019-06-15 20-29-34,135,0,
2019-06-15 20-29-35,121,0,2019-06-15 20-29-35,147,0,2019-06-15 20-29-35,138,0,
2019-06-15 20-29-36,121,0,2019-06-15 20-29-36,147,0,2019-06-15 20-29-36,139,0,
2019-06-15 20-29-37,121,0,2019-06-15 20-29-37,146,0,2019-06-15 20-29-37,138,0,
2019-06-15 20-29-38,121,0,2019-06-15 20-29-38,149,0,2019-06-15 20-29-38,138,0,
2019-06-15 20-29-39,121,0,2019-06-15 20-29-39,152,0,2019-06-15 20-29-39,138,0,
2019-06-15 20-29-40,120,0,2019-06-15 20-29-40,153,0,2019-06-15 20-29-40,138,0,
2019-06-15 20-29-41,120,0,2019-06-15 20-29-41,152,0,2019-06-15 20-29-41,140,0,
2019-06-15 20-29-42,122,0,2019-06-15 20-29-42,152,0,2019-06-15 20-29-42,140,0,
2019-06-15 20-29-43,122,0,2019-06-15 20-29-43,152,0,2019-06-15 20-29-43,140,0,
2019-06-15 20-29-44,122,0,2019-06-15 20-29-44,152,0,2019-06-15 20-29-44,139,0,
2019-06-15 20-29-45,121,0,2019-06-15 20-29-45,152,0,2019-06-15 20-29-45,140,0,
2019-06-15 20-29-46,122,0,2019-06-15 20-29-46,152,0,2019-06-15 20-29-46,139,0,
2019-06-15 20-29-47,122,0,2019-06-15 20-29-47,155,0,2019-06-15 20-29-47,140,0,
2019-06-15 20-29-48,121,0,2019-06-15 20-29-48,155,0,2019-06-15 20-29-48,141,0,
2019-06-15 20-29-49,121,0,2019-06-15 20-29-49,156,0,2019-06-15 20-29-49,142,0,
2019-06-15 20-29-50,120,0,2019-06-15 20-29-50,156,0,2019-06-15 20-29-50,145,0,
2019-06-15 20-29-51,120,0,2019-06-15 20-29-51,156,0,2019-06-15 20-29-51,146,0,
2019-06-15 20-29-52,119,0,2019-06-15 20-29-52,156,0,2019-06-15 20-29-52,146,0,
2019-06-15 20-29-53,119,0,2019-06-15 20-29-53,156,0,2019-06-15 20-29-53,146,0,
2019-06-15 20-29-54,120,0,2019-06-15 20-29-54,155,0,2019-06-15 20-29-54,146,0,
2019-06-15 20-29-55,122,0,2019-06-15 20-29-55,155,0,2019-06-15 20-29-55,146,0,
2019-06-15 20-29-56,121,0,2019-06-15 20-29-56,155,0,2019-06-15 20-29-56,146,0,
2019-06-15 20-29-57,121,0,2019-06-15 20-29-57,155,0,2019-06-15 20-29-57,149,0,
